path,filename,chars_before,planned_chars_after,paragraphs_before,paragraphs_after,paragraph_restore_planned,paragraph_restore_splits,tail_cleanup_planned,tail_remove_chars,tail_reasons,logical_category,form_score,form_reasons,duplicate_status,duplicate_of,duplicate_similarity,chunking_readiness_before,chunking_readiness_after,planned_output,warnings
cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,525814,513416,430,351,False,0,True,12398,['bibliography_tail'],explanatory_narrative,0.15,['exam'],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,[]
cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,525826,513428,432,353,False,0,True,12398,['bibliography_tail'],explanatory_narrative,0.15,['exam'],duplicate_candidate,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,549857,547080,374,372,False,0,True,2776,['bibliography_tail'],explanatory_narrative,0.0,['objective'],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,549305,546530,56,56,False,0,True,2774,['bibliography_tail'],explanatory_narrative,0.0,['objective'],duplicate_candidate,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,0.985,0.57,0.61,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,549857,547080,374,372,False,0,True,2776,['bibliography_tail'],explanatory_narrative,0.0,['objective'],duplicate_candidate,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,825736,825415,648,647,False,0,True,320,['publisher_tail'],explanatory_narrative,0.0,[],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,[]
cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,825541,825220,647,646,False,0,True,320,['publisher_tail'],explanatory_narrative,0.0,[],duplicate_candidate,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/конс. жертв секс. насил..cleaned.txt,конс. жертв секс. насил..cleaned.txt,28548,28569,1,22,True,42,False,0,[],explanatory_narrative,0.0,['exam'],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/конс. жертв секс. насил..cleaned.txt,[]
cleaned_corpus/good/Любовь. ревность..cleaned.txt,Любовь. ревность..cleaned.txt,25518,25537,1,20,True,38,False,0,[],explanatory_narrative,0.1,[],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/Любовь. ревность..cleaned.txt,[]
"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt","Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt",906568,894543,651,615,False,0,True,12024,['bibliography_tail'],explanatory_narrative,0.0,"['questionnaire', 'exam']",canonical_or_unique,,,1.0,1.0,"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt",[]
