path,filename,extension,size,line_count,char_count,detected_category,confidence,reasons,recommended_action,target_folder,sha256,duplicate_of
kb/sexologist/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.txt,126920_4409ae397650cf3bad5ab99ba9787539.cleaned.txt,.txt,990862,8436,537609,book_theory,0.84,"large theory document, theory markers=1600",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,6d9ff3877483af7964cafceba7fd0fabdad627a3fe741189cd5864df7abaecd7,
kb/sexologist/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.txt,.txt,1019577,9393,552605,book_theory,0.84,"large theory document, theory markers=1152",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,1a77187b97c936cfdcd04d613f31e65c22d959d206da7b4f3c7c7147993cdd51,
kb/sexologist/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.txt,88436_f74ff498f23077badd28e1a443f537ab.cleaned.txt,.txt,1549168,18148,848053,book_theory,0.84,"large theory document, theory markers=821",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,44c8c0538379a95c58f82597ebbdebd2963ea8e48ca0a8822d338695d648739d,
"kb/sexologist/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.txt","Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.txt",.txt,1733715,18426,947933,book_theory,0.84,"large theory document, theory markers=3418",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,cddd8307e7a3b1437025f2f347ffde7b62ee5dbea1647d15caa624f397a3ef8c,
kb/sexologist/good/Медицинская_сексология_Психотерапия_сексуальных_расстройств.cleaned.txt,Медицинская_сексология_Психотерапия_сексуальных_расстройств.cleaned.txt,.txt,1733715,18426,947933,duplicate,0.98,same SHA-256 hash as an earlier candidate,review_duplicate_do_not_ingest,sorted_sources/unclear,cddd8307e7a3b1437025f2f347ffde7b62ee5dbea1647d15caa624f397a3ef8c,"kb/sexologist/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.txt"
kb/sexologist/good/Сексуальный интеллект.cleaned.txt,Сексуальный интеллект.cleaned.txt,.txt,746135,9816,409577,book_theory,0.84,"large theory document, theory markers=708",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,553604b98aecf874b40734bffdb61fe84841e66b9f388ec3d4ffb3e656ec11b6,
kb/sexologist/good/Сочетанное_использование_эриксоновского_гипноза_и_ДПДГ_в_клинической.cleaned.txt,Сочетанное_использование_эриксоновского_гипноза_и_ДПДГ_в_клинической.cleaned.txt,.txt,42573,435,23033,exercise,0.82,exercise markers=9,copy_to_specialized_bucket,sorted_sources/exercises,6b1607d719e708f70182a44f42489106d5b1efea6f7c4882e610c9d0df3e4ca9,
kb/sexologist/good/Яффе Секс в жизни женщины .cleaned.txt,Яффе Секс в жизни женщины .cleaned.txt,.txt,791139,10832,430427,book_theory,0.84,"large theory document, theory markers=1378",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,55eebc2d640a500c0c6dda26d16895d61ec7fb096ea52835ef1290e44de47bf3,
kb/sexologist/good/Яффе Секс в жизни мужчины .cleaned.txt,Яффе Секс в жизни мужчины .cleaned.txt,.txt,679256,9303,371532,book_theory,0.84,"large theory document, theory markers=811",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,bef1cfd4a4b9d69e3e600ef50d7ae2389f5aaf441c7b17c52076334800b21073,
kb/sexologist/OCR_PREPROCESSING_REPORT.md,OCR_PREPROCESSING_REPORT.md,.md,9817,84,7414,unclear,0.82,"pipeline report, not a source document",copy_for_manual_review,sorted_sources/unclear,633e09bcac9737b3b5bd1cace6e3a39169fbee2221836603b6f49e3ce7c361d7,
